Title,playerNum,Online,Genre,Publisher,RS,Sales,UP,Console,AgeRating,Year
Phoenix Wright: Ace Attorney,1,TRUE,"Adventure,Simulation",Capcom,81,0.38,24.95,Nintendo DS,E,2005
Spider-Man 2,1,TRUE,Action,Activision,67,0.38,14.95,Sony PSP,M,2005
NFL Street 2,4,TRUE,Sports,EA,73,0.37,17.95,Sony PSP,T,2005
Kirby: Canvas Curse,1,TRUE,Action,Nintendo,86,0.37,17.95,Nintendo DS,T,2005
Battlefield 2: Modern Combat,4,TRUE,Action,EA,77,0.36,16.95,X360,E,2005
Yoshi Touch & Go,1,TRUE,Action,Nintendo,73,0.36,17.95,Nintendo DS,T,2005
Tiger Woods PGA Tour 06,4,TRUE,Sports,EA,71,0.33,9.95,X360,T,2005
Condemned: Criminal Origins,1,TRUE,"Action,Adventure",Sega,81,0.33,14.95,X360,E,2005
Peter Jackson's King Kong: The Official Game of...,2,TRUE,Action,Ubisoft,80,0.32,14.95,X360,T,2005
Castlevania: Dawn of Sorrow,1,TRUE,"Action,Role-Playing (RPG)",Konami,89,0.31,17.95,Nintendo DS,T,2005
SpongeBob SquarePants: The Yellow Avenger,1,TRUE,Action,THQ,67,0.31,13.95,Nintendo DS,E,2005
Marvel Nemesis: Rise of the Imperfects ,1,TRUE,Action,EA,58,0.31,17.95,Sony PSP,T,2005
Kameo: Elements of Power,1,TRUE,Action,Microsoft,79,0.31,11.95,X360,T,2005
Advance Wars: Dual Strike,1,TRUE,Strategy,Nintendo,90,0.3,17.95,Nintendo DS,T,2005
Trauma Center: Under the Knife,1,TRUE,"Action,Simulation",Nintendo,81,0.3,15.95,Nintendo DS,T,2005
Coded Arms,1,TRUE,Action,Konami,59,0.3,12.95,Sony PSP,M,2005
NBA LIVE 06 ,1,TRUE,Sports,EA,64,0.29,4.95,X360,E,2005
Tony Hawk's American Wasteland,1,TRUE,Sports,Activision,75,0.29,14.95,X360,E,2005
Star Wars: Episode III - Revenge of the Sith,1,TRUE,Action,Ubisoft,73,0.28,16.95,Nintendo DS,E,2005
Capcom Classics Collection Remixed,1,TRUE,Action,Capcom,72,0.28,17.95,Sony PSP,E,2005
Madagascar,1,TRUE,Adventure,Activision,66,0.27,14.95,Nintendo DS,E,2005
X-Men: Legends II - Rise of Apocalypse,1,TRUE,"Action,Role-Playing (RPG)",Activision,84,0.27,17.95,Sony PSP,M,2005
Quake 4,1,TRUE,Action,Activision,75,0.27,14.95,X360,E,2005
Pokmon Trozei!,1,TRUE,Strategy,Nintendo,74,0.26,19.95,Nintendo DS,E,2005
Need for Speed: Most Wanted,1,TRUE,Racing / Driving,EA,45,0.25,15.95,Nintendo DS,E,2005
Mega Man Maverick Hunter X,1,TRUE,Action,Capcom,79,0.25,17.95,Sony PSP,E,2005
Metroid Prime Pinball,1,TRUE,"Action,Simulation",Nintendo,79,0.22,17.95,Nintendo DS,E,2005
NBA 06,1,TRUE,Sports,Sony,72,0.22,9.95,Sony PSP,E,2005
GUN ,1,TRUE,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,19.95,X360,E,2005
NBA 2K6 ,1,TRUE,Sports,2K,81,0.22,4.95,X360,E,2005
Pinball Hall of Fame: The Gottlieb Collection,4,TRUE,Action,,73,0.21,9.95,Sony PSP,T,2005
Harry Potter and the Goblet of Fire,1,TRUE,Action,EA,68,0.21,17.95,Nintendo DS,T,2005
Tony Hawk's American Sk8land,1,TRUE,Sports,Activision,84,0.21,16.95,Nintendo DS,E,2005
MVP Baseball,1,TRUE,Sports,EA,67,0.21,4.95,Sony PSP,M,2005
Tiger Woods PGA Tour,1,TRUE,Sports,EA,78,0.21,17.95,Sony PSP,E,2005
World Series of Poker,1,TRUE,"Sports,Strategy",Activision,37,0.21,14.95,Sony PSP,E,2005
SSX on Tour,1,TRUE,Sports,EA,79,0.2,16.95,Sony PSP,E,2005
Tiger Woods PGA Tour 06,1,TRUE,Sports,EA,80,0.2,9.95,Sony PSP,T,2005
Death Jr.,1,TRUE,Action,Konami,61,0.19,9.95,Sony PSP,M,2005
Harry Potter and the Goblet of Fire,1,TRUE,Action,EA,70,0.19,17.95,Sony PSP,T,2005
MediEvil Resurrection,1,TRUE,Action,Sony,66,0.19,17.95,Sony PSP,T,2005
"The Chronicles of Narnia: The Lion, the Witch a...",1,TRUE,"Action,Role-Playing (RPG)",,65,0.18,12.95,Nintendo DS,T,2005
Shrek SuperSlam,1,TRUE,Action,Activision,56,0.18,11.95,Nintendo DS,E,2005
Virtua Tennis: World Tour,1,TRUE,Sports,Sega,84,0.18,14.95,Sony PSP,M,2005
Prince of Persia: Revelations,1,TRUE,Action,Ubisoft,65,0.17,6.95,Sony PSP,E,2005
Burnout Legends,1,TRUE,"Action,Racing / Driving",EA,38,0.16,17.95,Nintendo DS,E,2005
Meteos,1,TRUE,Strategy,Nintendo,88,0.16,15.95,Nintendo DS,E,2005
Spyro: Shadow Legacy,1,TRUE,Role-Playing (RPG),,50,0.15,17.95,Nintendo DS,E,2005
The Con,1,TRUE,Action,Sony,63,0.15,8.95,Sony PSP,E,2005
Infected,1,TRUE,Action,,74,0.15,17.95,Sony PSP,E,2005
Pursuit Force,1,TRUE,"Action,Racing / Driving",Sony,75,0.14,14.95,Sony PSP,M,2005
Kingdom of Paradise,2,TRUE,"Action,Role-Playing (RPG)",Sony,72,0.13,12.95,Sony PSP,E,2005
Dragon Ball Z: Supersonic Warriors 2,1,TRUE,Action,Atari,66,0.13,22.95,Nintendo DS,E,2005
Dragon Quest Heroes: Rocket Slime,1,TRUE,Action,SquareEnix,83,0.13,12.95,Nintendo DS,T,2005
Dead to Rights: Reckoning,1,TRUE,Action,Namco,54,0.13,14.95,Sony PSP,E,2005
Amped 3,1,TRUE,Sports,2K,72,0.13,14.95,X360,E,2005
Break 'em All,1,TRUE,Action,,68,0.12,17.95,Nintendo DS,T,2005
Lunar: Dragon Song,1,TRUE,Role-Playing (RPG),Ubisoft,59,0.12,14.95,Nintendo DS,M,2005
Madden NFL 06,1,TRUE,Sports,EA,66,0.12,9.95,Nintendo DS,E,2005
Retro Atari Classics,1,TRUE,"Action,Racing / Driving,Simulation",Atari,51,0.12,12.95,Nintendo DS,E,2005
True Swing Golf,1,TRUE,Sports,Nintendo,66,0.12,14.95,Nintendo DS,E,2005
FIFA Soccer,1,TRUE,Sports,EA,73,0.12,14.95,Sony PSP,E,2005
Metal Gear Ac!d 2,1,TRUE,Strategy,Konami,80,0.12,12.95,Sony PSP,E,2005
ATV Quad Frenzy,1,TRUE,"Racing / Driving,Sports",,35,0.11,14.95,Nintendo DS,T,2005
Bomberman,1,TRUE,Strategy,Ubisoft,75,0.11,17.95,Nintendo DS,E,2005
GoldenEye: Rogue Agent,1,TRUE,Action,EA,58,0.11,14.95,Nintendo DS,T,2005
Need for Speed Underground 2,1,TRUE,Racing / Driving,EA,65,0.11,22.95,Nintendo DS,T,2005
Frogger: Helmet Chaos,1,TRUE,Action,Konami,66,0.11,19.95,Sony PSP,E,2005
The Lord of the Rings: Tactics,1,TRUE,"Role-Playing (RPG),Strategy",EA,64,0.11,19.95,Sony PSP,M,2005
Rengoku: The Tower of Purgatory,1,TRUE,"Action,Role-Playing (RPG)",Konami,43,0.11,12.95,Sony PSP,E,2005
Gretzky NHL,2,TRUE,Sports,Sony,61,0.1,9.95,Sony PSP,E,2005
Ridge Racer 6,2,TRUE,Racing / Driving,"EA,Namco",74,0.1,14.95,X360,E,2005
Ford Racing 3,1,TRUE,"Action,Racing / Driving",,49,0.1,14.95,Nintendo DS,E,2005
NHL 2K6 ,1,TRUE,Sports,2K,75,0.1,5.95,X360,T,2005
Bust-a-Move DS,1,TRUE,"Action,Strategy",,75,0.09,17.95,Nintendo DS,E,2005
Battles of Prince of Persia,1,TRUE,Strategy,Ubisoft,64,0.09,14.95,Nintendo DS,E,2005
GripShift,1,TRUE,Racing / Driving,Ubisoft,70,0.09,9.95,Sony PSP,E,2005
Marvel Nemesis: Rise of the Imperfects ,1,TRUE,Action,EA,34,0.08,14.95,Nintendo DS,T,2005
Scooby-Doo! Unmasked,1,TRUE,Action,THQ,60,0.08,17.95,Nintendo DS,E,2005
Viewtiful Joe: Double Trouble!,1,TRUE,Action,Capcom,73,0.08,14.95,Nintendo DS,E,2005
The Legend of Heroes: A Tear of Vermillion,1,TRUE,Role-Playing (RPG),,68,0.08,17.95,Sony PSP,T,2005
PQ: Practical Intelligence Quotient,1,TRUE,Strategy,,69,0.08,14.95,Sony PSP,E,2005
Lost in Blue,1,TRUE,Role-Playing (RPG),Konami,69,0.07,24.95,Nintendo DS,T,2005
Ghost in the Shell: Stand Alone Complex,1,TRUE,Action,Sony,61,0.07,14.95,Sony PSP,E,2005
Dig Dug: Digging Strike,1,TRUE,Action,Namco,65,0.06,16.95,Nintendo DS,E,2005
Frogger: Helmet Chaos,1,TRUE,Action,Konami,69,0.06,17.95,Nintendo DS,E,2005
Mega Man Battle Network 5: Double Team DS,1,TRUE,"Action,Role-Playing (RPG)",Capcom,68,0.06,17.95,Nintendo DS,E,2005
Nanostray,1,TRUE,Action,THQ,71,0.06,17.95,Nintendo DS,E,2005
Sega Casino,1,TRUE,Simulation,Sega,61,0.06,17.95,Nintendo DS,M,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,TRUE,"Action,Adventure",Konami,58,0.06,17.95,Nintendo DS,T,2005
Pac-Man World 3,1,TRUE,Action,"EA,Namco",61,0.06,24.95,Sony PSP,E,2005
Tokobot,1,TRUE,Strategy,,72,0.06,17.95,Sony PSP,T,2005
Fullmetal Alchemist: Dual Sympathy,1,TRUE,Action,,58,0.05,14.95,Nintendo DS,M,2005
Exit,1,TRUE,Action,Ubisoft,77,0.05,9.95,Sony PSP,E,2005
Bubble Bobble Revolution,1,TRUE,Action,,38,0.04,17.95,Nintendo DS,M,2005
The Rub Rabbits!,2,TRUE,"Action,Adventure",Sega,68,0.02,17.95,Nintendo DS,M,2005
Electroplankton,1,TRUE,Simulation,Nintendo,71,0.01,29.95,Nintendo DS,T,2005
LifeSigns: Surgical Unit,1,TRUE,"Simulation,Strategy",,61,0.01,22.95,Nintendo DS,T,2005
Space Invaders Revolution,1,TRUE,Action,,49,0.01,13.95,Nintendo DS,E,2005
Wii Play,2,TRUE,"Action,Sports",Nintendo,58,14.66,14.95,Nintendo Wii,T,2006
New Super Mario Bros.,1,TRUE,Action,Nintendo,89,10.03,27.95,Nintendo DS,T,2006
Pokmon Diamond,1,TRUE,Role-Playing (RPG),Nintendo,85,6.77,27.95,Nintendo DS,E,2006
Pokmon Pearl,1,TRUE,Role-Playing (RPG),Nintendo,85,6.77,26.95,Nintendo DS,E,2006
Gears of War,2,TRUE,Action,Microsoft,94,3.7,19.95,X360,M,2006
The Legend of Zelda: Twilight Princess,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,95,3.33,39.95,Nintendo Wii,M,2006
Cooking Mama,1,TRUE,Simulation,,67,2.9,17.95,Nintendo DS,M,2006
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,82,2.42,14.95,X360,T,2006
Daxter,1,TRUE,Action,Sony,85,2.38,14.95,Sony PSP,T,2006
The Elder Scrolls IV: Oblivion,1,TRUE,"Action,Role-Playing (RPG)",2K,94,2.12,19.95,X360,E,2006
Madden NFL 07,2,TRUE,Sports,EA,80,1.77,4.95,X360,E,2006
Grand Theft Auto: Vice City Stories,1,TRUE,"Action,Racing / Driving",Rockstar,86,1.72,17.95,Sony PSP,E,2006
Resistance: Fall of Man,4,TRUE,Action,Sony,86,1.61,19.95,PlayStation 3,E,2006
MotorStorm,1,TRUE,"Action,Racing / Driving,Sports",Sony,82,1.58,16.95,PlayStation 3,T,2006
Call of Duty 3,2,TRUE,Action,Activision,82,1.51,16.95,X360,T,2006
Yoshi's Island DS,1,TRUE,Action,Nintendo,81,1.49,27.95,Nintendo DS,E,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,4,TRUE,Action,Ubisoft,90,1.46,14.95,X360,E,2006
Fight Night Round 3,2,TRUE,"Action,Sports",EA,86,1.4,14.95,X360,E,2006
Pokmon Ranger,1,TRUE,Role-Playing (RPG),Nintendo,69,1.36,19.95,Nintendo DS,E,2006
Rayman Raving Rabbids,4,TRUE,Action,Ubisoft,76,1.26,17.95,Nintendo Wii,T,2006
Saints Row,1,TRUE,"Action,Racing / Driving",THQ,81,1.23,14.95,X360,T,2006
Tom Clancy's Rainbow Six: Vegas,2,TRUE,Action,Ubisoft,88,1.19,14.95,X360,E,2006
Dead Rising,1,TRUE,Action,Capcom,85,1.16,16.95,X360,E,2006
Call of Duty 3,1,TRUE,Action,Activision,69,1.15,19.95,Nintendo Wii,E,2006
Lost Planet: Extreme Condition,1,TRUE,Action,Capcom,79,1.15,12.95,X360,M,2006
Mario Hoops 3 on 3,1,TRUE,Sports,Nintendo,69,1.03,22.95,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,1,TRUE,Action,EA,47,1.02,17.95,Nintendo DS,E,2006
Super Monkey Ball: Banana Blitz,4,TRUE,Action,Sega,74,1,14.95,Nintendo Wii,T,2006
The Sims 2: Pets,1,TRUE,Simulation,EA,49,0.97,14.95,Nintendo DS,T,2006
Need for Speed: Carbon - Own the City,1,TRUE,Racing / Driving,EA,73,0.93,16.95,Sony PSP,E,2006
WarioWare: Smooth Moves,6,TRUE,"Action,Racing / Driving,Sports",Nintendo,83,0.9,39.95,Nintendo Wii,T,2006
Fight Night Round 3,2,TRUE,"Action,Sports",EA,83,0.86,13.95,PlayStation 3,T,2006
Final Fantasy III,1,TRUE,Role-Playing (RPG),SquareEnix,77,0.86,17.95,Nintendo DS,E,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,TRUE,Action,Sony,81,0.86,16.95,Sony PSP,E,2006
Madden NFL 07,1,TRUE,Sports,EA,78,0.83,9.95,Sony PSP,E,2006
Monster 4x4: World Circuit,4,TRUE,Racing / Driving,Ubisoft,51,0.82,12.95,Nintendo Wii,E,2006
Kirby: Squeak Squad,1,TRUE,Action,Nintendo,71,0.82,27.95,Nintendo DS,T,2006
Pokmon Battle Revolution,4,TRUE,"Action,Strategy",Nintendo,53,0.81,39.95,Nintendo Wii,T,2006
Medal of Honor: Heroes,1,TRUE,Action,EA,71,0.81,14.95,Sony PSP,E,2006
Tekken: Dark Resurrection,1,TRUE,Action,"Namco,Sony",88,0.81,17.95,Sony PSP,E,2006
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,77,0.78,16.95,X360,E,2006
Mario vs. Donkey Kong 2: March of the Minis,1,TRUE,Action,Nintendo,76,0.77,27.95,Nintendo DS,T,2006
Sonic Rivals,1,TRUE,"Action,Racing / Driving",Sega,64,0.76,17.95,Sony PSP,T,2006
NCAA Football 07,2,TRUE,Sports,EA,79,0.7,4.95,X360,E,2006
Mortal Kombat: Unchained,2,TRUE,Action,Midway,70,0.67,17.95,Sony PSP,E,2006
Tom Clancy's Splinter Cell: Double Agent,1,TRUE,Action,Ubisoft,85,0.67,17.95,X360,E,2006
Tetris DS,1,TRUE,Strategy,Nintendo,84,0.66,17.95,Nintendo DS,M,2006
LEGO Star Wars II: The Original Trilogy,2,TRUE,Action,,83,0.61,17.95,Sony PSP,T,2006
Red Steel,4,TRUE,Action,Ubisoft,63,0.58,14.95,Nintendo Wii,T,2006
Metroid Prime: Hunters,1,TRUE,Action,Nintendo,85,0.58,27.95,Nintendo DS,E,2006
LEGO Star Wars II: The Original Trilogy,2,TRUE,Action,,81,0.57,14.95,X360,E,2006
NBA 2K7 ,1,TRUE,Sports,2K,84,0.56,4.95,X360,E,2006
SEGA Genesis Collection,2,TRUE,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sega,82,0.55,17.95,Sony PSP,T,2006
Call of Duty 3,1,TRUE,Action,Activision,80,0.52,19.95,PlayStation 3,T,2006
NBA Live 07,1,TRUE,Sports,EA,64,0.51,7.95,Sony PSP,E,2006
Madden NFL 07,2,TRUE,Sports,EA,76,0.49,6.95,PlayStation 3,T,2006
SpongeBob SquarePants: The Yellow Avenger,1,TRUE,Action,THQ,48,0.49,12.95,Sony PSP,T,2006
Madden NFL 07,4,TRUE,Sports,EA,81,0.48,9.95,Nintendo Wii,E,2006
Fight Night Round 3,2,TRUE,"Action,Simulation,Sports",EA,74,0.48,16.95,Sony PSP,T,2006
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,75,0.47,17.95,PlayStation 3,T,2006
Need for Speed: Carbon,2,TRUE,Racing / Driving,EA,67,0.47,17.95,Nintendo Wii,M,2006
WWE SmackDown vs. Raw 2007,4,TRUE,Sports,THQ,81,0.45,12.95,X360,E,2006
Tiger Woods PGA Tour 07,1,TRUE,Sports,EA,80,0.45,9.95,X360,T,2006
Viva Pi$?ata,4,TRUE,"Simulation,Strategy",Microsoft,84,0.44,16.95,X360,E,2006
SpongeBob Squarepants: Creature from the Krusty Krab,1,TRUE,"Action,Adventure",THQ,57,0.44,14.95,Nintendo Wii,T,2006
Tony Hawk's Project 8,2,TRUE,Sports,Activision,68,0.42,17.95,Sony PSP,M,2006
Tony Hawk's Project 8,2,TRUE,Sports,Activision,81,0.42,16.95,X360,E,2006
NBA LIVE 07 ,1,TRUE,Sports,EA,59,0.42,4.95,X360,T,2006
Excite Truck,2,TRUE,Racing / Driving,Nintendo,72,0.4,19.95,Nintendo Wii,M,2006
Harvest Moon DS,1,TRUE,"Role-Playing (RPG),Simulation",,67,0.4,17.95,Nintendo DS,T,2006
Star Fox Command,1,TRUE,Action,Nintendo,76,0.39,14.95,Nintendo DS,T,2006
Metal Gear Solid: Portable Ops,1,TRUE,"Action,Strategy",Konami,87,0.39,17.95,Sony PSP,T,2006
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,73,0.38,17.95,Nintendo Wii,M,2006
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,66,0.37,16.95,X360,E,2006
Major League Baseball 2K6,2,TRUE,Sports,2K,66,0.37,4.95,X360,T,2006
NCAA Football 07,1,TRUE,Sports,EA,75,0.36,9.95,Sony PSP,T,2006
MLB 06: The Show,2,TRUE,Sports,Sony,83,0.35,9.95,Sony PSP,T,2006
Blazing Angels: Squadrons of WWII,2,TRUE,Action,Ubisoft,67,0.35,16.95,PlayStation 3,T,2006
WWE SmackDown vs. Raw 2007,4,TRUE,Sports,THQ,78,0.34,14.95,Sony PSP,T,2006
Rune Factory: A Fantasy Harvest Moon,1,TRUE,"Role-Playing (RPG),Simulation",,78,0.34,24.95,Nintendo DS,T,2006
Marvel Ultimate Alliance,1,TRUE,"Action,Role-Playing (RPG)",Activision,81,0.34,22.95,Sony PSP,E,2006
Marvel Ultimate Alliance,4,TRUE,"Action,Role-Playing (RPG)",Activision,78,0.33,24.95,PlayStation 3,M,2006
Tiger Woods PGA Tour 07,4,TRUE,Sports,EA,81,0.32,14.95,PlayStation 3,E,2006
Ace Combat X: Skies of Deception,1,TRUE,"Action,Simulation",Namco,75,0.32,22.95,Sony PSP,E,2006
Killzone: Liberation,1,TRUE,"Action,Strategy",Sony,77,0.32,16.95,Sony PSP,M,2006
F.E.A.R.: First Encounter Assault Recon,1,TRUE,Action,,85,0.32,17.95,X360,E,2006
NBA 2K7,7,TRUE,Sports,2K,80,0.31,7.95,PlayStation 3,E,2006
Tony Hawk's Project 8,2,TRUE,Sports,Activision,76,0.3,14.95,PlayStation 3,T,2006
Avatar: The Last Airbender,1,TRUE,Action,THQ,64,0.3,17.95,Nintendo DS,E,2006
Castlevania: Portrait of Ruin,1,TRUE,Action,Konami,85,0.3,17.95,Nintendo DS,M,2006
Hitman: Blood Money,1,TRUE,Action,Eidos,82,0.29,22.95,X360,E,2006
Rockstar Games presents Table Tennis,2,TRUE,Sports,Rockstar,81,0.28,9.95,X360,M,2006
Trauma Center: Second Opinion,1,TRUE,"Action,Simulation",Nintendo,80,0.28,17.95,Nintendo Wii,T,2006
Tenchu Z,1,TRUE,Action,Microsoft,56,0.28,14.95,X360,E,2006
Elite Beat Agents,1,TRUE,Action,Nintendo,87,0.27,9.95,Nintendo DS,M,2006
Street Fighter Alpha 3 MAX,1,TRUE,Action,Capcom,80,0.27,14.95,Sony PSP,M,2006
Blue Dragon,1,TRUE,Role-Playing (RPG),Microsoft,79,0.27,14.95,X360,T,2006
The Lord of the Rings: The Battle for Middle Ea...,1,TRUE,Strategy,EA,79,0.27,19.95,X360,T,2006
Prey,1,TRUE,Action,2K,79,0.27,14.95,X360,T,2006
Over the Hedge,1,TRUE,Adventure,Activision,71,0.26,16.95,Nintendo DS,E,2006
Capcom Classics Collection Reloaded,1,TRUE,Action,Capcom,75,0.26,17.95,Sony PSP,T,2006
Pirates of the Caribbean: Dead Man's Chest,1,TRUE,Action,,52,0.26,14.95,Sony PSP,T,2006
NHL 07 ,1,TRUE,Sports,EA,79,0.26,5.95,X360,T,2006
Monster Hunter Freedom,1,TRUE,"Action,Strategy",Capcom,71,0.25,12.95,Sony PSP,E,2006
Chromehounds,1,TRUE,"Action,Simulation,Strategy",Sega,71,0.25,14.95,X360,T,2006
Test Drive Unlimited,1,TRUE,Racing / Driving,Atari,82,0.25,17.95,X360,T,2006
Dragon Ball Z: Budokai Tenkaichi 2,2,TRUE,Action,Atari,72,0.24,14.95,Nintendo Wii,E,2006
Dragon Quest Monsters: Joker,1,TRUE,Role-Playing (RPG),SquareEnix,75,0.24,14.95,Nintendo DS,T,2006
